Symptom,Category,Allowed_Values,Generic_Severity_Rubric,Modeling_Note
Fever,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Fainting,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Confusion,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Memory_Problems,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Difficulty_Concentrating,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Seizure,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Tremor,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Balance_Problems,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Numbness,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Tingling,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Muscle_Weakness,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
One_Sided_Weakness,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Facial_Droop,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Slurred_Speech,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Vision_Loss,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Blurred_Vision,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Double_Vision,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Light_Sensitivity,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Sound_Sensitivity,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Aura,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Restlessness,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Insomnia,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Brain_Fog,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Post_Exertional_Malaise,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Muscle_Rigidity,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Palpitations,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Rapid_Heartbeat,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Slow_Heartbeat,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Irregular_Heartbeat,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Leg_Swelling,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Ankle_Swelling,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Orthopnea,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Paroxysmal_Nocturnal_Dyspnea,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Low_Blood_Pressure_Symptoms,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
High_Blood_Pressure_Symptoms,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Calf_Pain,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Cold_Extremities,Cardiovascular,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Frequent_Urination,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Urgency_Urination,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Painful_Urination,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Blood_in_Urine,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Cloudy_Urine,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Foul_Smelling_Urine,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Flank_Pain,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Reduced_Urine_Output,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Excessive_Thirst,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Nocturia,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Urinary_Retention,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Incontinence,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Foamy_Urine,Urinary_Renal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Rash,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Itching,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Hives,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Red_Skin,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Dry_Skin,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Scaly_Skin,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Blisters,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Skin_Pain,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Skin_Ulcer,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Pus_Discharge,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Hair_Loss,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Bruising,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Petechiae,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Purple_Rash,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Facial_Swelling,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Lip_Tongue_Swelling,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Local_Warmth,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Skin_Discoloration,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Non_Healing_Wound,Skin,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Joint_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Joint_Swelling,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Joint_Stiffness,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Morning_Stiffness,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Muscle_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Muscle_Cramps,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Back_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
