Disease,Category,Base_Urgency,Age_Min,Age_Max,Sex,Prevalence_Weight,Typical_Duration_Days,Signature_Symptoms,Notes
Major_Depressive_Disorder,Mental_Behavioral,Urgent,1,90,Any,1.0,14-365,"Depressed_Mood, Loss_of_Interest, Fatigue, Insomnia, Difficulty_Concentrating, Self_Harm_Thoughts",
Panic_Disorder,Mental_Behavioral,Soon,1,90,Any,0.9,1-365,"Panic, Palpitations, Shortness_of_Breath, Chest_Pain, Dizziness",
Post_Traumatic_Stress_Disorder,Mental_Behavioral,Soon,1,90,Any,0.65,30-365,"Anxiety, Insomnia, Irritability, Anxiety, Social_Withdrawal",
Schizophrenia,Mental_Behavioral,Urgent,14,70,Any,0.35,30-365,"Hallucinations, Social_Withdrawal, Confusion, Confusion",
Somatic_Symptom_Disorder,Mental_Behavioral,Routine,1,90,Any,0.45,90-365,"Anxiety, Body_Ache, Fatigue, Body_Ache",
Ankylosing_Spondylitis,Musculoskeletal_Autoimmune,Routine,15,60,Any,0.4,60-365,"Low_Back_Pain, Morning_Stiffness, Hip_Pain, Limited_Mobility",
Bursitis,Musculoskeletal_Autoimmune,Routine,1,90,Any,0.7,3-60,"Joint_Pain, Local_Warmth, Limited_Mobility, Shoulder_Pain",
Fibromyalgia,Musculoskeletal_Autoimmune,Routine,1,90,Any,0.85,90-365,"Muscle_Pain, Fatigue, Brain_Fog, Insomnia, Headache",
Lumbar_Strain,Musculoskeletal_Autoimmune,Routine,1,90,Any,1.5,1-30,"Low_Back_Pain, Muscle_Cramps, Limited_Mobility",
Myositis,Musculoskeletal_Autoimmune,Soon,1,90,Any,0.25,14-365,"Muscle_Weakness, Muscle_Pain, Fatigue, Difficulty_Swallowing",
Osteoarthritis,Musculoskeletal_Autoimmune,Routine,35,95,Any,1.4,30-365,"Joint_Pain, Joint_Stiffness, Limited_Mobility, Knee_Pain, Hip_Pain",
Osteoporosis_Fracture,Musculoskeletal_Autoimmune,Urgent,50,100,Any,0.45,1-120,"Bone_Pain, Back_Pain, Limited_Mobility",
Polymyalgia_Rheumatica,Musculoskeletal_Autoimmune,Soon,50,100,Any,0.35,14-365,"Shoulder_Pain, Hip_Pain, Morning_Stiffness, Fatigue",
Rheumatoid_Arthritis,Musculoskeletal_Autoimmune,Soon,15,90,Any,0.8,30-365,"Morning_Stiffness, Joint_Swelling, Joint_Pain, Fatigue",
Sciatica,Musculoskeletal_Autoimmune,Soon,1,90,Any,1.0,3-90,"Sciatic_Pain, Low_Back_Pain, Numbness, Tingling, Muscle_Weakness",
Septic_Arthritis,Musculoskeletal_Autoimmune,Emergency,1,90,Any,0.25,1-7,"Joint_Pain, Joint_Swelling, Fever, Local_Warmth",
Sjogren_Syndrome,Musculoskeletal_Autoimmune,Routine,1,90,Any,0.35,30-365,"Dry_Eyes, Dry_Mouth, Joint_Pain, Fatigue",
Systemic_Lupus_Erythematosus,Musculoskeletal_Autoimmune,Soon,10,70,Any,0.35,30-365,"Rash, Joint_Pain, Fatigue, Fever, Mouth_Ulcers, Hair_Loss",
Tendinitis,Musculoskeletal_Autoimmune,Routine,1,90,Any,0.9,3-90,"Joint_Pain, Limited_Mobility, Joint_Pain",
Bells_Palsy,Neurological,Soon,1,90,Any,0.55,1-90,"Facial_Droop, Dry_Eyes, Loss_of_Taste, Ear_Pain",
Benign_Positional_Vertigo,Neurological,Routine,1,90,Any,1.1,1-30,"Vertigo, Nausea, Balance_Problems, Dizziness",
Carpal_Tunnel_Syndrome,Neurological,Routine,1,90,Any,0.9,14-365,"Numbness, Tingling, Muscle_Weakness, Joint_Pain",
Cluster_Headache,Neurological,Urgent,15,70,Any,0.35,1-30,"Severe_Headache, One_Sided_Headache, Watery_Eyes, Nasal_Congestion, Restlessness",
Concussion,Neurological,Urgent,1,90,Any,0.6,1-30,"Headache, Dizziness, Confusion, Nausea, Light_Sensitivity, Memory_Problems",
Dementia,Neurological,Soon,55,100,Any,0.55,90-365,"Memory_Problems, Confusion, Difficulty_Concentrating, Social_Withdrawal",
Encephalitis,Neurological,Emergency,1,90,Any,0.2,1-21,"Fever, Confusion, Seizure, Severe_Headache, Hallucinations",
Epilepsy,Neurological,Urgent,1,90,Any,0.8,1-365,"Seizure, Loss_of_Consciousness, Confusion, Muscle_Rigidity",
Ischemic_Stroke,Neurological,Emergency,35,100,Any,0.45,1-3,"One_Sided_Weakness, Facial_Droop, Slurred_Speech, Vision_Loss, Confusion",
Labyrinthitis,Neurological,Soon,1,90,Any,0.55,2-30,"Vertigo, Hearing_Loss, Ringing_in_Ears, Nausea, Balance_Problems",
Meningitis,Neurological,Emergency,1,90,Any,0.3,1-10,"Fever, Severe_Headache, Neck_Stiffness, Light_Sensitivity, Confusion, Vomiting",
Migraine,Neurological,Soon,8,75,Any,2.0,1-5,"One_Sided_Headache, Nausea, Light_Sensitivity, Sound_Sensitivity, Aura",
Multiple_Sclerosis,Neurological,Soon,15,65,Any,0.35,14-365,"Blurred_Vision, Numbness, Muscle_Weakness, Balance_Problems, Fatigue",
Parkinson_Disease,Neurological,Soon,40,95,Any,0.45,90-365,"Tremor, Muscle_Rigidity, Limited_Mobility, Balance_Problems",
Peripheral_Neuropathy,Neurological,Soon,18,95,Any,0.8,30-365,"Numbness, Tingling, Skin_Pain, Muscle_Weakness, Balance_Problems",
Tension_Headache,Neurological,Routine,1,90,Any,2.3,1-10,"Headache, Neck_Pain, Headache, Anxiety",
Transient_Ischemic_Attack,Neurological,Emergency,35,100,Any,0.35,1-2,"One_Sided_Weakness, Facial_Droop, Slurred_Speech, Dizziness",
Trigeminal_Neuralgia,Neurological,Soon,35,90,Any,0.3,1-180,"Facial_Pain, Jaw_Pain, Facial_Pain",
Acute_Kidney_Injury,Renal_Urological,Emergency,1,90,Any,0.35,1-14,"Reduced_Urine_Output, Leg_Swelling, Fatigue, Nausea, Confusion",
Benign_Prostatic_Hyperplasia,Renal_Urological,Routine,45,95,Male,0.85,60-365,"Nocturia, Urinary_Retention, Frequent_Urination, Urinary_Retention",
Bladder_Cancer,Renal_Urological,Urgent,40,95,Any,0.25,14-180,"Blood_in_Urine, Frequent_Urination, Painful_Urination, Weight_Loss",
Chronic_Kidney_Disease,Renal_Urological,Soon,20,95,Any,0.75,60-365,"Fatigue, Leg_Swelling, Foamy_Urine, Itching, Nausea",
Glomerulonephritis,Renal_Urological,Urgent,1,90,Any,0.35,3-90,"Blood_in_Urine, Foamy_Urine, Leg_Swelling, High_Blood_Pressure_Symptoms",
Kidney_Stone,Renal_Urological,Urgent,1,90,Any,0.9,1-10,"Flank_Pain, Blood_in_Urine, Nausea, Vomiting, Restlessness",
Lower_UTI,Renal_Urological,Soon,1,90,Any,1.8,1-14,"Painful_Urination, Frequent_Urination, Urgency_Urination, Cloudy_Urine, Abdominal_Pain",
Nephrotic_Syndrome,Renal_Urological,Urgent,1,90,Any,0.3,7-180,"Foamy_Urine, Facial_Swelling, Leg_Swelling, Weight_Gain, Fatigue",
Overactive_Bladder,Renal_Urological,Routine,1,90,Any,0.9,30-365,"Urgency_Urination, Frequent_Urination, Nocturia, Incontinence",
Prostatitis,Renal_Urological,Soon,18,80,Male,0.55,2-60,"Painful_Urination, Pelvic_Pain, Fever, Urinary_Retention, Testicular_Pain",
Pyelonephritis,Renal_Urological,Urgent,1,90,Any,0.65,1-14,"Fever, Flank_Pain, Painful_Urination, Nausea, Vomiting",
Cervical_Cancer,Reproductive,Urgent,20,90,Female,0.22,30-365,"Vaginal_Bleeding, Pelvic_Pain, Painful_Intercourse, Weight_Loss",
Dysmenorrhea,Reproductive,Routine,10,55,Female,1.2,1-10,"Painful_Periods, Pelvic_Pain, Nausea, Headache",
Ectopic_Pregnancy,Reproductive,Emergency,12,55,Female,0.2,1-14,"Missed_Period, Pelvic_Pain, Vaginal_Bleeding, Dizziness, Fainting",
Endometriosis,Reproductive,Soon,12,55,Female,0.8,30-365,"Pelvic_Pain, Painful_Periods, Painful_Intercourse, Heavy_Periods, Infertility",
Epididymitis,Reproductive,Urgent,12,90,Male,0.45,1-21,"Testicular_Pain, Fever, Painful_Urination, Local_Warmth",
Menopause,Reproductive,Routine,40,65,Female,0.9,90-365,"Irregular_Periods, Heat_Intolerance, Excessive_Sweating, Mood_Swings, Insomnia",
Pelvic_Inflammatory_Disease,Reproductive,Urgent,12,55,Female,0.55,2-30,"Pelvic_Pain, Vaginal_Discharge, Fever, Painful_Intercourse, Vaginal_Bleeding",
Polycystic_Ovary_Syndrome,Reproductive,Soon,12,50,Female,1.0,60-365,"Irregular_Periods, Weight_Gain, Hair_Loss, Rash, Infertility",
Testicular_Torsion,Reproductive,Emergency,1,50,Male,0.15,1-2,"Testicular_Pain, Nausea, Vomiting, Local_Warmth",
Vulvovaginal_Candidiasis,Reproductive,Soon,12,80,Female,0.85,2-30,"Genital_Itching, Vaginal_Discharge, Painful_Urination, Red_Skin",
Acute_Bronchitis,Respiratory,Soon,1,90,Any,1.8,4-21,"Productive_Cough, Chest_Tightness, Wheezing, Fatigue",
Acute_Sinusitis,Respiratory,Soon,1,90,Any,1.7,3-21,"Sinus_Pressure, Facial_Pain, Nasal_Congestion, Headache, Productive_Cough",
Allergic_Rhinitis,Respiratory,Routine,1,90,Any,2.2,1-60,"Sneezing, Runny_Nose, Nasal_Congestion, Watery_Eyes, Itching",
Asthma_Exacerbation,Respiratory,Urgent,3,80,Any,1.5,1-10,"Wheezing, Shortness_of_Breath, Chest_Tightness, Dry_Cough",
Bacterial_Pneumonia,Respiratory,Urgent,1,90,Any,1.1,2-18,"Fever, Productive_Cough, Shortness_of_Breath, Pleuritic_Chest_Pain, Rapid_Breathing",
COPD_Exacerbation,Respiratory,Urgent,40,95,Any,1.0,2-21,"Shortness_of_Breath, Productive_Cough, Wheezing, Chest_Tightness",
COVID_19,Respiratory,Soon,1,90,Any,1.8,2-21,"Fever, Dry_Cough, Loss_of_Smell, Loss_of_Taste, Fatigue, Shortness_of_Breath",
Common_Cold,Respiratory,Routine,1,90,Any,3.2,2-10,"Runny_Nose, Sneezing, Nasal_Congestion, Sore_Throat, Cough",
Influenza,Respiratory,Soon,1,90,Any,2.3,2-14,"Fever, Chills, Body_Ache, Fatigue, Headache, Dry_Cough",
Laryngitis,Respiratory,Routine,1,90,Any,1.1,2-14,"Hoarseness, Sore_Throat, Dry_Cough, Difficulty_Swallowing",
Obstructive_Sleep_Apnea,Respiratory,Soon,18,90,Any,1.1,30-365,"Snoring, Apnea_Episodes, Sleepiness, Headache, Difficulty_Concentrating",
Pertussis,Respiratory,Urgent,0,90,Any,0.45,7-70,"Cough, Vomiting, Shortness_of_Breath, Blue_Lips",
Pleurisy,Respiratory,Urgent,1,90,Any,0.55,1-21,"Pleuritic_Chest_Pain, Shortness_of_Breath, Dry_Cough",
Pneumothorax,Respiratory,Emergency,1,90,Any,0.3,1-5,"Shortness_of_Breath, Chest_Pain, Rapid_Breathing, Blue_Lips",
Pulmonary_Embolism,Respiratory,Emergency,1,90,Any,0.4,1-5,"Shortness_of_Breath, Pleuritic_Chest_Pain, Rapid_Heartbeat, Calf_Pain, Fainting",
RSV_Infection,Respiratory,Soon,0,8,Any,1.2,3-14,"Cough, Wheezing, Runny_Nose, Rapid_Breathing, Fever",
Streptococcal_Pharyngitis,Respiratory,Soon,3,70,Any,1.3,2-10,"Sore_Throat, Painful_Swallowing, Fever, Swollen_Lymph_Nodes",
Tonsillitis,Respiratory,Soon,1,90,Any,1.2,2-14,"Sore_Throat, Painful_Swallowing, Fever, Swollen_Lymph_Nodes, Bad_Breath",
Tuberculosis,Respiratory,Urgent,5,90,Any,0.8,21-180,"Coughing_Blood, Night_Sweats, Weight_Loss, Productive_Cough, Fever",
Viral_Pneumonia,Respiratory,Urgent,1,90,Any,0.9,3-21,"Fever, Dry_Cough, Shortness_of_Breath, Fatigue, Rapid_Breathing",
Acute_HIV_Syndrome,Tropical_Infectious_Other,Urgent,12,90,Any,0.2,7-30,"Fever, Rash, Sore_Throat, Swollen_Lymph_Nodes, Fatigue",
Anaphylaxis,Tropical_Infectious_Other,Emergency,1,90,Any,0.35,1-1,"Hives, Lip_Tongue_Swelling, Shortness_of_Breath, Wheezing, Low_Blood_Pressure_Symptoms",
Chikungunya,Tropical_Infectious_Other,Urgent,1,90,Any,0.6,3-60,"Fever, Joint_Pain, Rash, Headache, Fatigue",
Dengue,Tropical_Infectious_Other,Urgent,1,90,Any,1.0,3-14,"Fever, Severe_Headache, Body_Ache, Joint_Pain, Rash, Petechiae",
Hand_Foot_Mouth_Disease,Tropical_Infectious_Other,Soon,0,15,Any,0.55,3-14,"Fever, Mouth_Ulcers, Rash, Blisters, Loss_of_Appetite",
Heat_Exhaustion,Tropical_Infectious_Other,Urgent,1,90,Any,0.65,1-2,"Excessive_Sweating, Weakness, Dizziness, Nausea, Headache",
Heat_Stroke,Tropical_Infectious_Other,Emergency,1,90,Any,0.2,1-1,"Fever, Confusion, Loss_of_Consciousness, Seizure, Rapid_Heartbeat",
Infectious_Mononucleosis,Tropical_Infectious_Other,Soon,8,50,Any,0.55,7-60,"Sore_Throat, Swollen_Lymph_Nodes, Fatigue, Fever",
Japanese_Encephalitis,Tropical_Infectious_Other,Emergency,1,80,Any,0.15,2-21,"Fever, Severe_Headache, Confusion, Seizure, Muscle_Rigidity",
Kala_Azar,Tropical_Infectious_Other,Urgent,1,90,Any,0.22,14-180,"Fever, Weight_Loss, Abdominal_Bloating, Pallor, Night_Sweats",
Leptospirosis,Tropical_Infectious_Other,Urgent,1,90,Any,0.35,2-30,"Fever, Severe_Headache, Muscle_Pain, Red_Eyes, Jaundice",
Lyme_Disease,Tropical_Infectious_Other,Soon,1,90,Any,0.25,3-180,"Rash, Fever, Joint_Pain, Headache, Facial_Droop",
Malaria,Tropical_Infectious_Other,Urgent,1,90,Any,0.8,3-30,"Fever, Chills, Excessive_Sweating, Headache, Nausea",
Rabies,Tropical_Infectious_Other,Emergency,1,90,Any,0.08,2-14,"Fever, Tingling, Difficulty_Swallowing, Restlessness, Hallucinations",
Tetanus,Tropical_Infectious_Other,Emergency,1,90,Any,0.12,2-28,"Jaw_Pain, Muscle_Rigidity, Muscle_Cramps, Difficulty_Swallowing, Fever",
